state,total_applicants,percentage_total
LA,2862,15.86303284416492
TN,2448,15.727124183006536
IL,11080,15.460288808664261
NY,3854,15.412558380902958
MI,2870,14.947735191637632
GA,8865,13.728144388042866
TX,7479,13.664928466372508
CA,8837,13.579268982686433
OH,3363,13.559322033898304
FL,6522,11.422876418276601
